run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,ag_news,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,ag_news,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,ag_news,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,ag_news,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,ag_news,uncalibrated,3600,0.26666666666666666,0.3333333333333333,0,,
seed-42,ag_news,uncalibrated,3600,0.3333333333333333,0.4,0,,
seed-42,ag_news,uncalibrated,3600,0.4,0.4666666666666667,0,,
seed-42,ag_news,uncalibrated,3600,0.4666666666666667,0.5333333333333333,12,0.5172819449115224,0.4166666666666667
seed-42,ag_news,uncalibrated,3600,0.5333333333333333,0.6,30,0.5594567186878352,0.4666666666666667
seed-42,ag_news,uncalibrated,3600,0.6,0.6666666666666666,23,0.6394409351029661,0.5217391304347826
seed-42,ag_news,uncalibrated,3600,0.6666666666666666,0.7333333333333333,23,0.697055308718405,0.5217391304347826
seed-42,ag_news,uncalibrated,3600,0.7333333333333333,0.8,24,0.7659971599416765,0.5833333333333334
seed-42,ag_news,uncalibrated,3600,0.8,0.8666666666666667,46,0.8413793681978671,0.41304347826086957
seed-42,ag_news,uncalibrated,3600,0.8666666666666667,0.9333333333333333,68,0.9026935162932094,0.4411764705882353
seed-42,ag_news,uncalibrated,3600,0.9333333333333333,1.0,7374,0.999204930645876,0.9079197179278546
seed-42,aokvqa,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,aokvqa,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,aokvqa,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,aokvqa,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,aokvqa,uncalibrated,3600,0.26666666666666666,0.3333333333333333,7,0.3175099014883535,0.14285714285714285
seed-42,aokvqa,uncalibrated,3600,0.3333333333333333,0.4,38,0.37031636796966927,0.3684210526315789
seed-42,aokvqa,uncalibrated,3600,0.4,0.4666666666666667,46,0.43235212575124743,0.5
seed-42,aokvqa,uncalibrated,3600,0.4666666666666667,0.5333333333333333,70,0.5007275562547678,0.38571428571428573
seed-42,aokvqa,uncalibrated,3600,0.5333333333333333,0.6,69,0.5641835329329957,0.5652173913043478
seed-42,aokvqa,uncalibrated,3600,0.6,0.6666666666666666,55,0.6354978363718519,0.509090909090909
seed-42,aokvqa,uncalibrated,3600,0.6666666666666666,0.7333333333333333,56,0.7034327674272137,0.7321428571428571
seed-42,aokvqa,uncalibrated,3600,0.7333333333333333,0.8,72,0.765812927434221,0.6944444444444444
seed-42,aokvqa,uncalibrated,3600,0.8,0.8666666666666667,79,0.8324579416732664,0.7468354430379747
