unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1789914871.7051992,25573138432,36,71000000,60000,6788759552
1789914872.706046,25336610816,88,147000000,60000,7109693440
1789914873.706864,25429893120,72,191000000,60000,7276044288
1789914874.7084293,25422503936,100,321000000,61000,7278317568
1789914875.7093394,25422553088,100,320000000,62000,7286771712
1789914876.7100303,4326690816,98,317000000,62000,7303729152
1789914877.7103665,4968484864,100,326000000,62000,7308054528
1789914878.7110255,5169872896,100,327000000,62000,7310938112
1789914879.7118294,5226614784,69,240000000,61000,7320563712
1789914880.7122664,5226668032,100,326000000,62000,7320731648
1789914881.7131557,5283344384,99,325000000,62000,7320784896
1789914882.7135391,5283434496,98,321000000,62000,7321153536
1789914883.7144716,5296181248,60,221000000,60000,7331344384
1789914884.7151685,5296308224,98,322000000,61000,7331545088
1789914885.7154636,5296287744,99,325000000,62000,7331917824
1789914886.7158892,5296381952,90,303000000,61000,7332638720
1789914887.7162902,7477686272,100,326000000,62000,7334477824
1789914888.7168276,7847342080,100,327000000,62000,7334477824
1789914889.7174976,7847342080,100,327000000,62000,7334477824
1789914890.7179136,7847395328,100,325000000,62000,7342518272
1789914891.722322,7878959104,35,131000000,59000,7355691008
1789914892.7232323,7878959104,0,72000000,57000,7384969216
1789914893.72399,7878959104,0,60000000,56000,7385034752
1789914894.7245588,7912939520,23,96000000,56000,7385227264
1789914895.7254426,7913086976,99,328000000,59000,7385513984
1789914896.7262561,7913254912,81,270000000,59000,7385997312
1789914897.7269006,7913316352,89,298000000,59000,7386140672
1789914898.727344,7913422848,77,263000000,59000,7386394624
1789914899.7278397,8037658624,100,329000000,60000,7386611712
1789914900.728601,8078741504,99,325000000,60000,7386865664
1789914901.7315135,8078831616,100,326000000,60000,7387586560
1789914902.7326553,8078864384,73,256000000,60000,7387643904
1789914903.73308,8078958592,98,322000000,60000,7387701248
1789914904.733471,8078958592,100,326000000,61000,7387701248
1789914905.7343612,8078995456,99,323000000,61000,7387832320
1789914906.7351933,8079048704,93,308000000,61000,7388160000
1789914907.7361395,8079081472,71,254000000,60000,7388274688
1789914908.737246,8079171584,28,114000000,57000,7406583808
1789914909.7378733,8079171584,0,72000000,56000,7418929152
1789914910.7386103,8079257600,10,70000000,55000,7419121664
1789914911.7393036,8079327232,32,136000000,56000,7407902720
