task_id,family,valid,correct,input_tokens,latency_s
original-policy-01-0,policy,True,True,89,0.8015730129554868
original-policy-01-1,policy,True,True,92,0.04932552692480385
original-policy-02-0,policy,True,True,78,0.046213240013457835
original-policy-02-1,policy,True,False,77,0.04566892294678837
original-policy-03-0,policy,True,True,80,0.04689757199957967
original-policy-03-1,policy,True,True,79,0.044595645973458886
original-policy-04-0,policy,True,True,86,0.04591252305544913
original-policy-04-1,policy,True,True,83,0.04508531093597412
original-policy-05-0,policy,True,True,90,0.045962437056005
original-policy-05-1,policy,True,True,81,0.04561871802434325
original-policy-06-0,policy,True,True,92,0.04650868789758533
original-policy-06-1,policy,True,True,82,0.0454354309476912
original-intent-01-0,intent,True,True,80,0.04613251704722643
original-intent-01-1,intent,True,True,81,0.04585032491013408
original-intent-02-0,intent,True,True,81,0.046119102044031024
original-intent-02-1,intent,True,True,80,0.04564039793331176
original-intent-03-0,intent,True,True,82,0.04532229795586318
original-intent-03-1,intent,True,True,80,0.045328921056352556
original-intent-04-0,intent,True,True,85,0.045461219968274236
original-intent-04-1,intent,True,True,80,0.04493256192654371
original-intent-05-0,intent,True,False,80,0.04675780900288373
original-intent-05-1,intent,True,False,79,0.04624613292980939
original-intent-06-0,intent,True,True,78,0.04629170906264335
original-intent-06-1,intent,True,True,83,0.05105492100119591
original-ordinal-01-0,ordinal,True,True,96,0.04630224802531302
original-ordinal-01-1,ordinal,True,True,97,0.0461621240247041
original-ordinal-02-0,ordinal,True,True,100,0.04672689992003143
original-ordinal-02-1,ordinal,True,True,101,0.04630896099843085
original-ordinal-03-0,ordinal,True,True,97,0.04541195696219802
original-ordinal-03-1,ordinal,True,True,99,0.045970501960255206
original-ordinal-04-0,ordinal,True,True,99,0.04620756895747036
original-ordinal-04-1,ordinal,True,True,98,0.045594050898216665
original-ordinal-05-0,ordinal,True,True,102,0.0463992819422856
original-ordinal-05-1,ordinal,True,True,101,0.04620056599378586
original-ordinal-06-0,ordinal,True,True,102,0.04641129495576024
original-ordinal-06-1,ordinal,True,True,109,0.045806532027199864
original-extraction-01-0,extraction,True,True,70,0.04617096995934844
original-extraction-01-1,extraction,True,True,72,0.04520365397911519
original-extraction-02-0,extraction,True,True,73,0.046658130013383925
original-extraction-02-1,extraction,True,True,72,0.04549606598448008
original-extraction-03-0,extraction,True,False,76,0.04647520394064486
original-extraction-03-1,extraction,True,True,75,0.04618406598456204
original-extraction-04-0,extraction,True,True,72,0.04664993495680392
original-extraction-04-1,extraction,True,True,70,0.0456878780387342
original-extraction-05-0,extraction,True,True,73,0.0465599539456889
original-extraction-05-1,extraction,True,True,69,0.0459535300033167
original-extraction-06-0,extraction,True,True,73,0.0459924730239436
original-extraction-06-1,extraction,True,True,72,0.05096232600044459
original-adequacy-01-0,adequacy,True,True,71,0.04660605196841061
original-adequacy-01-1,adequacy,True,True,67,0.051830575917847455
original-adequacy-02-0,adequacy,True,True,68,0.04625608096830547
original-adequacy-02-1,adequacy,True,True,69,0.04683567595202476
original-adequacy-03-0,adequacy,True,False,71,0.04601534700486809
original-adequacy-03-1,adequacy,True,True,75,0.04689556790981442
original-adequacy-04-0,adequacy,True,True,75,0.04582421598024666
original-adequacy-04-1,adequacy,True,True,72,0.05352151801344007
original-adequacy-05-0,adequacy,True,False,64,0.04863595392089337
original-adequacy-05-1,adequacy,True,True,65,0.04654451599344611
original-adequacy-06-0,adequacy,True,True,80,0.046072194003500044
original-adequacy-06-1,adequacy,True,True,82,0.046110465889796615
original-routing-01-0,routing,True,True,109,0.046556377899833024
original-routing-01-1,routing,True,True,105,0.046269395970739424
original-routing-02-0,routing,True,True,110,0.046570023987442255
original-routing-02-1,routing,True,True,104,0.046171530964784324
original-routing-03-0,routing,True,True,109,0.046421312959864736
original-routing-03-1,routing,True,True,112,0.04633584199473262
original-routing-04-0,routing,True,True,105,0.046695890952833
original-routing-04-1,routing,True,True,104,0.04577840899582952
original-routing-05-0,routing,True,True,106,0.047449704026803374
original-routing-05-1,routing,True,True,106,0.046033340971916914
original-routing-06-0,routing,True,True,105,0.04682670801412314
original-routing-06-1,routing,True,True,104,0.04610743001103401
easy-intent-00,intent,True,True,100,0.046699077007360756
easy-intent-01,intent,True,True,100,0.046272892970591784
easy-intent-02,intent,True,True,103,0.04790735896676779
easy-intent-03,intent,True,True,92,0.04652200301643461
easy-intent-04,intent,True,True,97,0.04580871597863734
easy-intent-05,intent,True,True,96,0.04611589596606791
easy-intent-06,intent,True,True,88,0.04605381900910288
easy-intent-07,intent,True,True,81,0.045915527967736125
easy-intent-08,intent,True,True,83,0.04552038200199604
easy-intent-09,intent,True,True,86,0.04619380400981754
easy-intent-10,intent,True,True,84,0.04544024099595845
easy-intent-11,intent,True,True,84,0.046248235972598195
easy-fact-00,fact,True,True,69,0.04656568507198244
easy-fact-01,fact,True,True,67,0.0466301980195567
