run,step,dataset,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,0,ag_news,0.15234375,0.15234375,1.6471045930043737,0.8819895298874705,0.22049738247186762,1.0,256,0.06914893617021277,0.2678380260309907,,
seed-42,0,aokvqa,0.14453125,0.14453125,1.873830872403089,0.9515222339775575,0.23788055849438938,1.0,256,,0.30413528755534397,,
seed-42,0,banking77,0.0,0.0,4.728749982359842,0.999108347260228,0.012975433081301661,1.0,256,0.0,0.06530662107936143,,
seed-42,0,boolq,0.6328125,0.6328125,0.6570496451841819,0.4647818939697733,0.23239094698488666,1.0,256,0.49983372131692716,0.0481861557357592,,
seed-42,0,clevr_attribute,0.22265625,0.22265625,1.7088944254648715,0.9056764576996132,0.31199018420632607,1.0,256,,0.3438475040385792,,
seed-42,0,clevr_count,0.3203125,0.3203125,2.152790189428556,0.8539694337934597,0.07763358489031452,1.0,256,0.07732438225421603,0.11839664371191963,2.8000068444712456,0.16645531837265815
seed-42,0,clevr_exist,0.50390625,0.50390625,0.7201778845258937,0.5254119018539078,0.2627059509269539,1.0,256,0.448715557439593,0.09967804507653272,,
seed-42,0,contract_nli,0.19921875,0.19921875,1.2132124450357107,0.7384252368114587,0.24614174560381957,1.0,256,0.16763165150261927,0.21750644227895907,,
seed-42,0,emotion,0.14453125,0.14453125,1.8579899598396277,0.8528290280305733,0.14213817133842888,1.0,256,0.0854489718004094,0.08914462930345629,,
seed-42,0,esci_es,0.4296875,0.4296875,1.3600249035269827,0.7256630828157802,0.18141577070394505,1.0,256,0.16855203619909503,0.08635673519163806,,
seed-42,0,esci_jp,0.28515625,0.28515625,1.3981480517585219,0.7541789023902151,0.18854472559755378,1.0,256,0.16385810841877788,0.087212004991074,,
seed-42,0,esci_us,0.3984375,0.3984375,1.3777259706453497,0.7343471703659994,0.18358679259149985,1.0,256,0.14655172413793102,0.030448707068342393,,
seed-42,0,mail_phishing,0.671875,0.671875,0.6405995604949175,0.44829108189761496,0.22414554094880748,1.0,256,0.6689655172413793,0.10950098892956196,,
seed-42,0,mail_spam,0.63671875,0.63671875,0.6534703610425632,0.46103963835811024,0.23051981917905512,1.0,256,0.6229033024471371,0.08308036433742505,,
seed-42,0,massive_en-US,0.00390625,0.00390625,4.948621947438375,1.0184725550374847,0.01697454258395808,1.0,256,0.00018841262364578426,0.10206129870632452,,
seed-42,0,massive_zh-CN,0.0078125,0.0078125,4.938549867223985,1.01494554106933,0.016915759017822163,1.0,256,0.000855276798673025,0.09600491924076554,,
seed-42,0,scienceqa,0.26171875,0.26171875,1.535915646808832,0.8534700575920557,0.27963527452306897,1.0,256,,0.28145225419926057,,
seed-42,0,screenqa_choice,0.09375,0.09375,2.9447579141919427,0.9359712863405047,0.054346474004360795,1.0,256,,0.049965624379559495,,
seed-42,0,screenqa_noul,0.45703125,0.45703125,0.732350182073531,0.5380771635704367,0.26903858178521833,1.0,256,0.4518032382801066,0.1357737681320493,,
seed-42,0,sharc,0.33984375,0.33984375,1.4890051814416387,0.7843596390091693,0.19608990975229232,1.0,256,0.12682215743440234,0.10904583398863595,,
seed-42,0,sms_spam,0.1328125,0.1328125,1.0006779686249603,0.7885672541909547,0.3942836270954774,1.0,256,0.12512315270935961,0.5136794301339973,,
seed-42,0,typed_decisions,0.37109375,0.3532812562630282,1.3007105765329676,0.2798662207718044,0.07901175451747444,1.0,256,,0.107296041125793,0.6961353669782288,0.09173737345509875
seed-42,0,vqav2_yesno,0.484375,0.48947482638888884,0.7239875118395765,0.38683708008470763,0.19341854004235381,1.0,256,0.4840916030534351,0.0880799695277438,,
seed-42,0,wikiqa,0.20703125,0.20703125,0.7752985755729581,0.5812441674332607,0.29062208371663034,1.0,256,0.19672308524615503,0.3414069256453912,,
seed-42,0,xnli_en,0.3203125,0.3203125,1.2771457734496814,0.7776445075082006,0.25921483583606686,1.0,256,0.16173570019723865,0.26109572399914455,,
seed-42,0,xnli_zh,0.33984375,0.33984375,1.1970538731163138,0.7299270822692951,0.24330902742309835,1.0,256,0.16909620991253646,0.17629917868989425,,
seed-42,400,ag_news,0.875,0.875,0.6850972336890975,0.21029138533547442,0.052572846333868606,1.0,256,0.8713149169670908,0.09754187900931012,,
seed-42,400,aokvqa,0.8203125,0.8203125,0.5313395982857453,0.2583298732107309,0.06458246830268273,1.0,256,,0.08889973778354698,,
seed-42,400,banking77,0.55859375,0.55859375,1.8399271913073967,0.6178142181655064,0.008023561274876707,1.0,256,0.5116437091173932,0.21308160379455476,,
seed-42,400,boolq,0.82421875,0.82421875,0.7870671497119265,0.28424731387677166,0.14212365693838583,1.0,256,0.8128867737586694,0.1430746436680279,,
seed-42,400,clevr_attribute,0.98828125,0.98828125,0.053342714373135876,0.02285752066248795,0.006070682955771028,1.0,256,,0.012558826534214865,,
seed-42,400,clevr_count,0.80078125,0.80078125,0.7241102427402064,0.3091657280813289,0.028105975280120814,1.0,256,0.4747796928424403,0.10439820176152526,0.2182035206919623,0.018253065314686644
