run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,ag_news,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,ag_news,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,ag_news,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,ag_news,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,ag_news,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,ag_news,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,ag_news,uncalibrated,2800,0.4,0.4666666666666667,3,0.4418303811558131,0.0
seed-42,ag_news,uncalibrated,2800,0.4666666666666667,0.5333333333333333,29,0.5135537418987999,0.3448275862068966
seed-42,ag_news,uncalibrated,2800,0.5333333333333333,0.6,55,0.5692814967714314,0.4909090909090909
seed-42,ag_news,uncalibrated,2800,0.6,0.6666666666666666,41,0.631642283627069,0.43902439024390244
seed-42,ag_news,uncalibrated,2800,0.6666666666666666,0.7333333333333333,47,0.7012036676565213,0.44680851063829785
seed-42,ag_news,uncalibrated,2800,0.7333333333333333,0.8,62,0.765992901178301,0.532258064516129
seed-42,ag_news,uncalibrated,2800,0.8,0.8666666666666667,94,0.8341547534597599,0.5957446808510638
seed-42,ag_news,uncalibrated,2800,0.8666666666666667,0.9333333333333333,145,0.9020814817865976,0.5655172413793104
seed-42,ag_news,uncalibrated,2800,0.9333333333333333,1.0,7124,0.9983753849695014,0.9258843346434588
seed-42,aokvqa,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,aokvqa,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,aokvqa,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,aokvqa,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,aokvqa,uncalibrated,2800,0.26666666666666666,0.3333333333333333,1,0.28140811718646336,0.0
seed-42,aokvqa,uncalibrated,2800,0.3333333333333333,0.4,5,0.361885820482413,0.4
seed-42,aokvqa,uncalibrated,2800,0.4,0.4666666666666667,15,0.4373947583111557,0.4666666666666667
seed-42,aokvqa,uncalibrated,2800,0.4666666666666667,0.5333333333333333,30,0.5047160946687252,0.4
seed-42,aokvqa,uncalibrated,2800,0.5333333333333333,0.6,39,0.5638531998703339,0.358974358974359
seed-42,aokvqa,uncalibrated,2800,0.6,0.6666666666666666,19,0.6322058700446216,0.3684210526315789
seed-42,aokvqa,uncalibrated,2800,0.6666666666666666,0.7333333333333333,17,0.7005015676629096,0.5294117647058824
seed-42,aokvqa,uncalibrated,2800,0.7333333333333333,0.8,33,0.7686120609176191,0.5454545454545454
