unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1790304398.6597016,21764505600,98,237064000,55000,12566544384
1790304399.7257097,21764505600,0,72954000,54000,12567044096
1790304400.7269208,21871460352,0,81051000,54000,13226246144
1790304401.7278311,21884043264,50,101139000,52000,14050820096
1790304402.7284973,21917597696,51,190342000,63000,14390460416
1790304403.7290685,21919694848,31,310491000,63000,14395809792
1790304404.7301788,21986803712,80,360636000,65000,14510379008
1790304405.7308059,21986803712,100,391681000,64000,14513684480
1790304406.7318823,21986803712,100,304914000,65000,14516457472
1790304407.7325654,22028746752,100,391784000,65000,14517182464
1790304408.7331984,22049718272,94,391811000,67000,14518640640
1790304409.733744,22049718272,95,316951000,64000,14524403712
1790304410.7347257,22049718272,100,369456000,66000,14525083648
1790304411.7371922,22049718272,86,390698000,67000,14527832064
1790304412.7377045,22049718272,100,395985000,66000,14528421888
1790304413.7384186,22056009728,99,376219000,65000,14531387392
1790304414.7389472,22056009728,100,372976000,65000,14531616768
1790304415.7395,22056009728,98,373975000,67000,14537551872
1790304416.7401245,22056009728,100,330447000,63000,14541479936
1790304417.7409132,22056009728,76,312460000,60000,14609494016
1790304418.741514,22060204032,50,298255000,67000,14746431488
1790304419.7423666,22060204032,87,389423000,68000,14748495872
1790304420.7428727,22060204032,95,394902000,67000,14750388224
1790304421.7433758,22060204032,99,366096000,67000,14753509376
1790304422.7438133,22060204032,100,351871000,67000,14753509376
1790304423.7443635,22060204032,100,376186000,68000,14756532224
1790304424.7450402,22060204032,100,388291000,69000,14758195200
1790304425.745747,22060204032,28,330196000,68000,14759698432
1790304426.7466686,22060204032,31,323097000,62000,14762864640
1790304427.7472854,22060204032,0,220707000,62000,14774816768
1790304428.750431,22060204032,29,146958000,56000,14778212352
1790304429.7513523,22060204032,27,204164000,67000,14780399616
1790304431.2509003,22060204032,0,172325000,56000,14780743680
1790304432.2515686,22060204032,0,122897000,55000,14786551808
1790304433.2524045,22060204032,74,90268000,56000,14789320704
1790304434.253031,22060204032,0,111707000,54000,14813220864
1790304435.2553356,22060204032,0,89574000,54000,14813224960
1790304436.2557557,22060204032,0,72561000,53000,14813224960
1790304437.2563696,22060204032,0,65147000,52000,14832009216
1790304438.2569551,22060204032,0,57504000,52000,14833070080
1790304439.2576003,22525771776,58,69442000,52000,14833070080
1790304440.2581837,22525771776,0,58486000,51000,14833070080
1790304441.2586854,22525771776,0,93639000,51000,14836346880
1790304442.2591295,22525771776,0,145768000,58000,14836445184
1790304443.2596297,22525771776,51,139374000,59000,14838513664
1790304444.260141,22525771776,86,167502000,54000,14838460416
1790304445.2608688,22525771776,0,117574000,51000,14842560512
1790304446.2817428,22525771776,0,126906000,51000,14842548224
1790304447.2826061,22525771776,0,108655000,51000,14849511424
1790304448.2831304,22525771776,0,72576000,53000,14849503232
1790304449.2836993,22525771776,68,105449000,51000,14849519616
1790304450.2845645,22525771776,0,91182000,50000,14849466368
1790304451.285069,22525771776,45,305050000,55000,14849507328
1790304452.2856624,22525771776,45,113381000,55000,14849507328
1790304453.2862206,22525771776,85,255086000,59000,14849511424
1790304454.2898307,22525771776,29,233039000,55000,14904537088
1790304455.3064175,22525771776,100,238329000,61000,14849474560
1790304456.306989,22525771776,1,287923000,52000,14851686400
1790304457.3080037,22525771776,0,71205000,52000,14855921664
1790304458.3086421,22525771776,23,119895000,51000,14872604672
1790304459.3092654,22525771776,0,86716000,50000,14872604672
1790304460.3096888,22525771776,0,66902000,49000,14872604672
1790304461.3102987,22525771776,0,61191000,48000,14882631680
1790304462.3108528,22525771776,0,55270000,48000,14882631680
1790304463.3114347,22527868928,58,71255000,48000,14882627584
